"Filepath","Optimistic","CPM","PERT","PERT.SD","PERT..99..","BB.2.Mean","BB.2.SD","BB.2..99..","Lognormal.Mean","Lognormal.SD","Lognormal..99..","Pessimistic","Sim.Min","Sim.Mean","Sim.SD","Sim.Mode","Sim.Median","Sim.Skewness","Sim.99.","Sim.Max","Sim.Time..Seconds.","source_file","a...ml..","b...ml..","Activity.Distribution","Number.of.Simulations","Number.of.Paths","Average.Nodes.Path","SP","LA","AD","TF"
"Set 1 SP_EV351",32,64,69.333,5.21,91.5,72.889,8,91.77,72.807,17.117,95.856,128,48.75,74.665,6.492,48.75,74.547,0.106,90.113,107.486,2.935,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV352",37,74,80.167,5.61,105.8,84.278,9.25,106.11,84.183,19.791,110.833,148,56.638,86.416,6.991,56.638,86.298,0.096,103.037,119.286,2.039,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV353",48,96,104,7.07,137.25,109.333,12,137.65,109.21,25.675,143.784,192,74.207,112.362,8.646,74.207,112.193,0.117,133.081,153.826,79.977,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV354",33.5,67,72.583,5.39,95.79,76.306,8.375,96.07,76.219,17.919,100.349,134,53.685,78.711,6.585,53.685,78.586,0.113,94.414,112.776,5.313,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV355",41.5,83,89.917,6.36,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166,63.799,96.841,7.924,63.799,96.691,0.102,115.763,133.807,5.886,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV356",29,58,62.833,4.8,82.92,66.056,7.25,83.17,65.981,15.512,86.869,116,44.358,67.67,5.973,44.358,67.536,0.123,81.936,94.998,1.618,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV357",31.5,63,68.25,5.21,90.07,71.75,7.875,90.33,71.669,16.849,94.358,126,49.469,76.113,6.058,49.469,75.97,0.131,90.645,104.975,9.902,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV358",43,86,93.167,6.71,122.95,97.944,10.75,123.31,97.834,23,128.806,172,66.162,100.335,8.359,66.162,100.185,0.1,120.203,139.881,18.871,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV359",42.5,85,92.083,6.64,121.52,96.806,10.625,121.88,96.696,22.733,127.308,170,71.498,102.77,7.684,71.498,102.626,0.11,121.137,140.928,91.399,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV360",36.5,73,79.083,5.49,104.37,83.139,9.125,104.67,83.045,19.524,109.335,146,58.517,85.737,6.687,58.517,85.617,0.11,101.72,116.899,35.47,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV361",32.5,65,70.417,5.26,92.93,74.028,8.125,93.2,73.944,17.384,97.353,130,51.49,77.224,6.358,51.49,77.113,0.094,92.316,107.453,5.894,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV362",33.5,67,72.583,5.81,95.79,76.306,8.375,96.07,76.219,17.919,100.349,134,51.479,79.966,6.828,51.479,79.814,0.126,96.309,115.545,10.133,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV363",39,78,84.5,6.2,111.52,88.833,9.75,111.84,88.733,20.861,116.824,156,59.401,91.047,7.713,59.401,90.898,0.115,109.457,128.036,12.672,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV364",35,70,75.833,5.62,100.08,79.722,8.75,100.37,79.632,18.721,104.842,140,53.135,81.779,6.992,53.135,81.649,0.107,98.439,115.977,2.882,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV365",34,68,73.667,5.61,97.22,77.444,8.5,97.5,77.357,18.186,101.847,136,51.448,79.347,6.997,51.448,79.2,0.117,96.042,111.982,3.711,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV366",35,70,75.833,5.5,100.08,79.722,8.75,100.37,79.632,18.721,104.842,140,54.372,82.446,6.706,54.372,82.315,0.113,98.46,113.138,22.333,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV367",35.5,71,76.917,5.76,101.51,80.861,8.875,101.81,80.77,18.989,106.34,142,53.403,82.838,7.187,53.403,82.69,0.113,100.028,116.377,1.726,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV368",33,66,71.5,5.49,94.36,75.167,8.25,94.64,75.082,17.651,98.851,132,49.586,76.994,6.839,49.586,76.854,0.113,93.315,111.808,1.687,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV369",29,58,62.833,4.91,82.92,66.056,7.25,83.17,65.981,15.512,86.869,116,46.306,68.979,5.939,46.306,68.829,0.139,83.219,96.028,40.096,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV370",32,64,69.333,5.2,91.5,72.889,8,91.77,72.807,17.117,95.856,128,48.119,74.849,6.408,48.119,74.713,0.12,90.153,106.986,15.638,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV371",33.5,67,72.583,5.14,95.79,76.306,8.375,96.07,76.219,17.919,100.349,134,52.599,78.22,6.379,52.599,78.096,0.113,93.421,108.669,6.03,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV372",41,82,88.833,6.43,117.23,93.389,10.25,117.58,93.283,21.931,122.815,164,66.712,97.931,7.557,66.712,97.768,0.122,116.04,132.77,41.951,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV373",47.5,95,102.917,7.15,135.82,108.194,11.875,136.22,108.072,25.407,142.286,190,75.072,111.027,8.877,75.072,110.875,0.097,132.131,153.254,6.805,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV374",30.5,61,66.083,5.24,87.21,69.472,7.625,87.47,69.394,16.314,91.362,122,43.404,71.176,6.532,43.404,71.037,0.122,86.754,105.144,2.041,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV375",30.5,61,66.083,4.88,87.21,69.472,7.625,87.47,69.394,16.314,91.362,122,48.773,72.004,5.964,48.773,71.883,0.115,86.202,100.518,6.84,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV376",38.5,77,83.417,6.15,110.09,87.694,9.625,110.41,87.595,20.593,115.326,154,61.6,91.639,7.44,61.6,91.501,0.11,109.397,129.061,46.06,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV377",32,64,69.333,5.36,91.5,72.889,8,91.77,72.807,17.117,95.856,128,46.533,74.671,6.678,46.533,74.524,0.117,90.596,105.955,2.285,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV378",27.5,55,59.583,5.12,78.63,62.639,6.875,78.86,62.568,14.71,82.376,110,45.621,67.703,5.498,45.621,67.543,0.162,81.018,95.77,40.891,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV379",40.5,81,87.75,6.4,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162,61.834,94.494,7.983,61.834,94.352,0.103,113.478,132.775,2.956,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV380",43,86,93.167,6.8,122.95,97.944,10.75,123.31,97.834,23,128.806,172,65.543,100.329,8.485,65.543,100.187,0.102,120.539,140.428,4.365,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV381",37,74,80.167,5.88,105.8,84.278,9.25,106.11,84.183,19.791,110.833,148,55.488,86.337,7.338,55.488,86.193,0.109,103.815,122.325,2.069,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV382",36.5,73,79.083,5.74,104.37,83.139,9.125,104.67,83.045,19.524,109.335,146,59.98,87.64,6.638,59.98,87.516,0.103,103.466,122.046,26.915,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV383",35.5,71,76.917,6.03,101.51,80.861,8.875,101.81,80.77,18.989,106.34,142,56.085,84.501,6.984,56.085,84.341,0.129,101.262,123.635,18.433,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV384",34.5,69,74.75,5.49,98.65,78.583,8.625,98.94,78.495,18.454,103.344,138,50.757,80.497,6.856,50.757,80.372,0.108,96.838,112.074,1.669,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV385",35.5,71,76.917,5.51,101.51,80.861,8.875,101.81,80.77,18.989,106.34,142,56.778,83.321,6.69,56.778,83.186,0.113,99.315,115.283,7.602,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV386",40.5,81,87.75,6.51,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162,61.845,95.365,7.994,61.845,95.218,0.104,114.43,132.586,6.256,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV387",34.5,69,74.75,5.53,98.65,78.583,8.625,98.94,78.495,18.454,103.344,138,53.55,80.514,6.893,53.55,80.383,0.109,96.946,113.44,1.906,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV388",30,60,65,4.83,85.78,68.333,7.5,86.03,68.256,16.047,89.865,120,46.133,70.069,5.999,46.133,69.936,0.123,84.419,98.411,4.094,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV389",36,72,78,5.72,102.94,82,9,103.24,81.907,19.256,107.838,144,57.619,84.814,6.925,57.619,84.659,0.124,101.372,116.855,7.321,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV390",33.5,67,72.583,5.38,95.79,76.306,8.375,96.07,76.219,17.919,100.349,134,53.7,80.372,6.488,53.7,80.266,0.091,95.729,111.467,4.735,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV391",28.5,57,61.75,5.18,81.49,64.917,7.125,81.73,64.843,15.244,85.372,114,45.184,68.652,5.901,45.184,68.526,0.127,82.794,97.33,5.564,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV392",25.5,51,55.25,4.02,72.91,58.083,6.375,73.13,58.018,13.64,76.385,102,38.873,59.509,5.019,38.873,59.417,0.104,71.446,84.233,1.927,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV393",34,68,73.667,5.59,97.22,77.444,8.5,97.5,77.357,18.186,101.847,136,51.366,79.792,6.83,51.366,79.649,0.117,96.147,111.497,5.425,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV394",36.5,73,79.083,5.97,104.37,83.139,9.125,104.67,83.045,19.524,109.335,146,56.658,85.445,7.222,56.658,85.247,0.157,102.947,124.04,4.21,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV395",32.5,65,70.417,5.87,92.93,74.028,8.125,93.2,73.944,17.384,97.353,130,51.168,77.057,6.753,51.168,76.861,0.175,93.501,108.73,22.532,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV396",33,66,71.5,5.34,94.36,75.167,8.25,94.64,75.082,17.651,98.851,132,48.101,77.009,6.649,48.101,76.879,0.113,92.854,110.514,2.711,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV397",33,66,71.5,5.45,94.36,75.167,8.25,94.64,75.082,17.651,98.851,132,50.933,76.997,6.795,50.933,76.862,0.114,93.224,107.43,1.676,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV398",29,58,62.833,4.68,82.92,66.056,7.25,83.17,65.981,15.512,86.869,116,43.867,67.898,5.788,43.867,67.771,0.122,81.705,95.339,1.887,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV399",34.5,69,74.75,5.77,98.65,78.583,8.625,98.94,78.495,18.454,103.344,138,52.491,81.263,7.03,52.491,81.109,0.12,98.081,113.802,27.187,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV400",36.5,73,79.083,5.68,104.37,83.139,9.125,104.67,83.045,19.524,109.335,146,54.326,85.163,7.086,54.326,85.027,0.103,102.048,120.006,2.582,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.4,"Rand","Rand","Rand"
"Set 1 SP_EV401",40.5,81,87.75,6.08,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162,68.383,97.435,7.05,68.383,97.289,0.121,114.301,131.581,28.494,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV402",46,92,99.667,6.66,131.53,104.778,11.5,131.92,104.659,24.605,137.793,184,73.251,107.327,8.306,73.251,107.185,0.097,127.082,150.376,1.589,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV403",39.5,79,85.583,5.92,112.94,89.972,9.875,113.28,89.871,21.128,118.322,158,61.861,92.172,7.384,61.861,92.047,0.099,109.742,128.697,1.805,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV404",42,84,91,6.15,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168,68.682,100.275,7.369,68.682,100.159,0.088,117.782,136.04,7.465,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV405",48,96,104,6.74,137.25,109.333,12,137.65,109.21,25.675,143.784,192,76.029,112.364,8.285,76.029,112.216,0.1,132.095,151.969,8.86,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV406",54.5,109,118.083,7.41,155.84,124.139,13.625,156.29,123.999,29.152,163.254,218,87.499,127.168,9.244,87.499,127.029,0.085,149.141,170.909,2.923,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV407",40.5,81,87.75,5.79,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162,64.523,94.487,7.22,64.523,94.375,0.093,111.635,128.251,1.749,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV408",52.5,105,113.75,7.13,150.12,119.583,13.125,150.56,119.448,28.082,157.263,210,85.293,122.524,8.888,85.293,122.383,0.091,143.604,171.338,8.634,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV409",38,76,82.333,5.93,108.66,86.556,9.5,108.98,86.458,20.326,113.829,152,58.812,88.666,7.388,58.812,88.524,0.108,106.272,123.422,1.64,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV410",35,70,75.833,5.15,100.08,79.722,8.75,100.37,79.632,18.721,104.842,140,53.52,81.663,6.419,53.52,81.541,0.104,96.926,113.193,2.337,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV411",49,98,106.167,6.86,140.11,111.611,12.25,140.52,111.485,26.21,146.779,196,77.377,114.34,8.567,77.377,114.197,0.09,134.665,161.126,1.722,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV412",42,84,91,5.94,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168,68.055,98.012,7.41,68.055,97.899,0.094,115.665,136.874,2.238,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV413",42,84,91,5.8,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168,66.631,98.01,7.242,66.631,97.894,0.095,115.249,136.685,1.799,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV414",43.5,87,94.25,6.13,124.38,99.083,10.875,124.75,98.971,23.268,130.304,174,69.125,101.621,7.608,69.125,101.483,0.1,119.71,138.899,3.453,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV415",46,92,99.667,6.4,131.53,104.778,11.5,131.92,104.659,24.605,137.793,184,71.934,107.344,7.987,71.934,107.217,0.09,126.33,147.338,6.863,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV416",50,100,108.333,6.95,142.97,113.889,12.5,143.39,113.76,26.745,149.775,200,80.941,116.671,8.662,80.941,116.53,0.093,137.283,157.551,2.616,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV417",48.5,97,105.083,6.63,138.68,110.472,12.125,139.09,110.347,25.942,145.281,194,77.189,113.518,8.164,77.189,113.384,0.097,132.995,160.359,8.485,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV418",28.5,57,61.75,4.37,81.49,64.917,7.125,81.73,64.843,15.244,85.372,114,47.524,68.805,5.181,47.524,68.719,0.093,81.09,93.661,51.324,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV419",38,76,82.333,5.4,108.66,86.556,9.5,108.98,86.458,20.326,113.829,152,62.557,90.447,6.503,62.557,90.34,0.096,105.881,122.093,7.149,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV420",46,92,99.667,6.47,131.53,104.778,11.5,131.92,104.659,24.605,137.793,184,74.607,107.639,7.989,74.607,107.508,0.097,126.654,147.892,3.583,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV421",38,76,82.333,5.49,108.66,86.556,9.5,108.98,86.458,20.326,113.829,152,60.327,88.666,6.844,60.327,88.544,0.103,104.979,121.347,3.135,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV422",45.5,91,98.583,6.19,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182,78.636,110.696,7.091,78.636,110.583,0.09,127.574,146.947,82.77,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV423",40.5,81,87.75,5.86,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162,66.087,94.493,7.303,66.087,94.362,0.105,111.897,127.552,2.549,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV424",41,82,88.833,5.97,117.23,93.389,10.25,117.58,93.283,21.931,122.815,164,65.125,96.735,7.427,65.125,96.616,0.097,114.399,133.39,17.511,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV425",55.5,111,120.25,7.53,158.69,126.417,13.875,159.16,126.274,29.687,166.25,222,91.679,129.499,9.389,91.679,129.359,0.088,151.821,178.749,1.705,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV426",33.5,67,72.583,5.08,95.79,76.306,8.375,96.07,76.219,17.919,100.349,134,52.36,78.432,6.285,52.36,78.313,0.11,93.392,108.276,1.959,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV427",33.5,67,72.583,5.08,95.79,76.306,8.375,96.07,76.219,17.919,100.349,134,52.315,78.164,6.331,52.315,78.045,0.107,93.232,110.404,1.73,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV428",38.5,77,83.417,6.14,110.09,87.694,9.625,110.41,87.595,20.593,115.326,154,61.448,91.453,7.138,61.448,91.271,0.144,108.642,125.181,10.535,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV429",45.5,91,98.583,6.49,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182,73.571,106.16,8.087,73.571,106.026,0.097,125.397,144.812,2.418,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV430",37.5,75,81.25,5.44,107.23,85.417,9.375,107.54,85.32,20.058,112.331,150,59.938,87.514,6.776,59.938,87.386,0.106,103.671,120.426,1.856,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV431",31,62,67.167,5.35,88.64,70.611,7.75,88.9,70.531,16.582,92.86,124,45.867,72.334,6.679,45.867,72.181,0.127,88.289,103.567,1.494,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV432",40.5,81,87.75,5.94,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162,65.031,94.514,7.402,65.031,94.388,0.1,112.1,130.349,4.212,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV433",43.5,87,94.25,6.26,124.38,99.083,10.875,124.75,98.971,23.268,130.304,174,69.109,101.494,7.805,69.109,101.359,0.097,120.063,141.885,2.687,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV434",47,94,101.833,6.49,134.39,107.056,11.75,134.78,106.935,25.14,140.788,188,76.641,109.664,8.094,76.641,109.533,0.092,128.932,147.604,1.798,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV435",42,84,91,6.02,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168,68.549,99.013,7.319,68.549,98.904,0.093,116.397,136.096,3.59,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV436",46.5,93,100.75,6.42,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186,74.476,108.511,7.993,74.476,108.381,0.095,127.523,147.197,3.115,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV437",38.5,77,83.417,5.92,110.09,87.694,9.625,110.41,87.595,20.593,115.326,154,61.03,90.432,7.134,61.03,90.252,0.144,107.577,125.555,33.139,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV438",45.5,91,98.583,6.67,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182,69.458,106.559,8.184,69.458,106.407,0.103,126.074,146.548,4.936,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV439",41,82,88.833,6.03,117.23,93.389,10.25,117.58,93.283,21.931,122.815,164,64.781,95.678,7.528,64.781,95.538,0.102,113.599,133.571,2.058,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV440",42.5,85,92.083,6.23,121.52,96.806,10.625,121.88,96.696,22.733,127.308,170,68.402,101.021,7.713,68.402,100.882,0.099,119.396,140.478,3.561,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV441",43,86,93.167,5.93,122.95,97.944,10.75,123.31,97.834,23,128.806,172,69.822,100.324,7.399,69.822,100.189,0.097,117.965,137.312,1.621,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV442",35.5,71,76.917,5.36,101.51,80.861,8.875,101.81,80.77,18.989,106.34,142,56.225,82.864,6.652,56.225,82.722,0.115,98.73,116.271,1.951,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
"Set 1 SP_EV443",35.5,71,76.917,5.37,101.51,80.861,8.875,101.81,80.77,18.989,106.34,142,56.153,82.839,6.697,56.153,82.72,0.102,98.766,115.1,1.971,"Set 1 SP Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,0.5,"Rand","Rand","Rand"
