"Filepath","Optimistic","CPM","PERT","PERT.SD","PERT..99..","BB.2.Mean","BB.2.SD","BB.2..99..","Lognormal.Mean","Lognormal.SD","Lognormal..99..","Pessimistic","Number.of.Paths","Average.Nodes.Path","Sim.Min","Sim.Mean","Sim.SD","Sim.Mode","Sim.Median","Sim.Skewness","Sim.99.","Sim.Max","Sim.Time..Seconds.","a...ml..","b...ml..","Activity.Distribution","Number.of.Simulations","source_file","SP","LA","AD","TF"
"Set 1 SP_EV429",45.5,91,98.583,6.49,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182,28,8.357,79.057,103.528,6.95,79.057,103.063,0.415,121.827,163.544,2.932,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV430",37.5,75,81.25,5.44,107.23,85.417,9.375,107.54,85.32,20.058,112.331,150,15,9.133,65.66,85.34,5.814,65.66,84.933,0.449,100.834,131.484,2.334,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV431",31,62,67.167,5.35,88.64,70.611,7.75,88.9,70.531,16.582,92.86,124,16,4.188,51.318,70.529,5.718,51.318,70.033,0.542,86.128,117.389,1.924,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV432",40.5,81,87.75,5.94,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162,65,9.308,70.406,92.17,6.359,70.406,91.715,0.445,109.048,147.415,4.929,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV433",43.5,87,94.25,6.26,124.38,99.083,10.875,124.75,98.971,23.268,130.304,174,33,8.818,74.837,98.982,6.698,74.837,98.525,0.426,116.73,149.354,3.324,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV434",47,94,101.833,6.49,134.39,107.056,11.75,134.78,106.935,25.14,140.788,188,16,7.625,82.238,106.938,6.941,82.238,106.49,0.404,125.195,151.896,2.221,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV435",42,84,91,6.02,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168,46,10.478,72.652,96.29,6.445,72.652,95.855,0.418,113.293,140.277,4.292,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV436",46.5,93,100.75,6.42,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186,40,9.525,81.852,105.806,6.864,81.852,105.361,0.399,123.831,156.261,3.717,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV437",38.5,77,83.417,5.92,110.09,87.694,9.625,110.41,87.595,20.593,115.326,154,490,13.502,64.989,87.923,6.268,64.989,87.452,0.466,104.697,132.426,37.435,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV438",45.5,91,98.583,6.67,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182,64,12.031,78.505,103.77,7.095,78.505,103.292,0.427,122.521,156.668,5.831,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV439",41,82,88.833,6.03,117.23,93.389,10.25,117.58,93.283,21.931,122.815,164,22,7.364,70.051,93.285,6.451,70.051,92.829,0.44,110.393,142.071,2.537,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV440",42.5,85,92.083,6.23,121.52,96.806,10.625,121.88,96.696,22.733,127.308,170,46,10.261,73.164,98.25,6.746,73.164,97.773,0.436,116.116,144.452,4.16,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV441",43,86,93.167,5.93,122.95,97.944,10.75,123.31,97.834,23,128.806,172,16,5.688,75.18,97.822,6.337,75.18,97.419,0.39,114.354,138.05,2.1,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV442",35.5,71,76.917,5.36,101.51,80.861,8.875,101.81,80.77,18.989,106.34,142,18,8.667,60.367,80.808,5.723,60.367,80.383,0.477,96.186,121.897,2.417,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV443",35.5,71,76.917,5.37,101.51,80.861,8.875,101.81,80.77,18.989,106.34,142,17,8.412,61.088,80.772,5.743,61.088,80.336,0.476,96.163,121.14,2.434,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV444",54.5,109,118.083,7.43,155.84,124.139,13.625,156.29,123.999,29.152,163.254,218,48,9.146,94.548,124.001,7.95,94.548,123.509,0.379,144.693,182.454,4.154,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV445",45.5,91,98.583,6.81,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182,918,12.882,81.771,107.354,7.185,81.771,106.841,0.439,126.392,154.771,66.516,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV446",46,92,99.667,6.41,131.53,104.778,11.5,131.92,104.659,24.605,137.793,184,33,9.424,79.659,105.388,6.917,79.659,104.931,0.415,123.66,149.838,3.316,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV447",46.5,93,100.75,6.53,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186,29,8.345,80.18,105.807,6.99,80.18,105.334,0.411,124.188,155.929,3.03,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV448",40,80,86.667,5.89,114.37,91.111,10,114.71,91.008,21.396,119.82,160,210,11.476,70.797,92.457,6.247,70.797,92.021,0.442,109.089,135.916,14.883,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV449",35,70,75.833,5.22,100.08,79.722,8.75,100.37,79.632,18.721,104.842,140,16,5.75,59.994,79.622,5.582,59.994,79.214,0.458,94.542,118.742,2.086,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV450",41.5,83,89.917,5.83,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166,104,10.308,73.105,94.494,6.213,73.105,94.09,0.405,110.825,133,7.407,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV451",43,86,93.167,6.23,122.95,97.944,10.75,123.31,97.834,23,128.806,172,612,14.765,75.681,98.927,6.562,75.681,98.483,0.426,116.272,147.609,48.826,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV452",34,68,73.667,5.27,97.22,77.444,8.5,97.5,77.357,18.186,101.847,136,119,10.63,58.395,78.495,5.497,58.395,78.071,0.479,93.22,119.216,8.462,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV453",39.5,79,85.583,5.92,112.94,89.972,9.875,113.28,89.871,21.128,118.322,158,69,9.377,67.964,89.866,6.332,67.964,89.41,0.45,106.748,136.553,5.302,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV454",42.5,85,92.083,6.13,121.52,96.806,10.625,121.88,96.696,22.733,127.308,170,16,7.375,74.468,96.7,6.563,74.468,96.251,0.44,114.132,142.468,2.264,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV455",38,76,82.333,5.53,108.66,86.556,9.5,108.98,86.458,20.326,113.829,152,626,11.792,66.8,87.464,5.936,66.8,87.034,0.454,103.295,133.508,41.803,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV456",46.5,93,100.75,6.78,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186,931,13.212,83.433,107.683,7.061,83.433,107.199,0.426,126.385,158.118,69.279,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV457",31,62,67.167,4.65,88.64,70.611,7.75,88.9,70.531,16.582,92.86,124,17,6.529,53.361,70.541,4.977,53.361,70.169,0.482,83.933,108.43,2.184,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV458",52,104,112.667,7.17,148.69,118.444,13,149.12,118.311,27.814,155.766,208,36,10.111,90.597,118.313,7.668,90.597,117.825,0.398,138.414,171.163,3.566,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV459",44.5,89,96.417,6.51,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178,91,10.549,76.503,101.627,6.944,76.503,101.152,0.426,120.009,158.453,7.058,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV460",47,94,101.833,6.75,134.39,107.056,11.75,134.78,106.935,25.14,140.788,188,158,10.297,80.935,106.942,7.222,80.935,106.457,0.414,125.992,153.803,10.757,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV461",35.5,71,76.917,5.49,101.51,80.861,8.875,101.81,80.77,18.989,106.34,142,130,9.846,58.707,81.961,5.95,58.707,81.503,0.482,97.932,126.664,8.917,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV462",44,88,95.333,6.37,125.81,100.222,11,126.18,100.109,23.535,131.802,176,16,7.125,76.301,100.252,6.827,76.301,99.797,0.426,118.29,147.471,2.223,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV463",37,74,80.167,5.47,105.8,84.278,9.25,106.11,84.183,19.791,110.833,148,127,11.472,66.306,86.56,5.677,66.306,86.161,0.438,101.633,127.036,9.541,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV464",38.5,77,83.417,5.66,110.09,87.694,9.625,110.41,87.595,20.593,115.326,154,63,10.286,66.054,87.7,6.05,66.054,87.273,0.446,103.795,134.662,5.134,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV465",38,76,82.333,5.39,108.66,86.556,9.5,108.98,86.458,20.326,113.829,152,33,9.485,66.125,86.478,5.756,66.125,86.097,0.414,101.683,136.812,3.402,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV466",48.5,97,105.083,6.61,138.68,110.472,12.125,139.09,110.347,25.942,145.281,194,232,12.586,85.108,112.128,7.064,85.108,111.679,0.397,130.67,164.907,17.764,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV467",41,82,88.833,6.06,117.23,93.389,10.25,117.58,93.283,21.931,122.815,164,28,8.25,70.312,93.28,6.48,70.312,92.821,0.446,110.515,138.046,2.91,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV468",41,82,88.833,6.09,117.23,93.389,10.25,117.58,93.283,21.931,122.815,164,111,10.351,72.43,95.131,6.352,72.43,94.693,0.434,111.954,142.099,8.184,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV469",43,86,93.167,6.2,122.95,97.944,10.75,123.31,97.834,23,128.806,172,78,12.128,74.611,98.315,6.615,74.611,97.858,0.432,115.855,142.949,6.71,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV470",47.5,95,102.917,6.6,135.82,108.194,11.875,136.22,108.072,25.407,142.286,190,99,10.606,83.411,108.359,7.066,83.411,107.891,0.407,126.906,160.008,7.622,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV471",31.5,63,68.25,5.09,90.07,71.75,7.875,90.33,71.669,16.849,94.358,126,78,11.372,54.065,73.023,5.419,54.065,72.599,0.497,87.659,119.029,6.644,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV472",33.5,67,72.583,5.02,95.79,76.306,8.375,96.07,76.219,17.919,100.349,134,216,9.856,56.255,76.439,5.363,56.255,76.038,0.474,90.862,112.256,13.598,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV473",33,66,71.5,5.2,94.36,75.167,8.25,94.64,75.082,17.651,98.851,132,37,9.351,56.584,75.662,5.627,56.584,75.202,0.514,90.88,131.886,3.558,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV474",48,96,104,6.96,137.25,109.333,12,137.65,109.21,25.675,143.784,192,26,8.846,80.979,109.215,7.444,80.979,108.705,0.426,128.901,163.375,2.892,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV475",37.5,75,81.25,5.67,107.23,85.417,9.375,107.54,85.32,20.058,112.331,150,35,8.371,63.385,85.344,6.067,63.385,84.9,0.458,101.53,133.129,3.381,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV476",41.5,83,89.917,5.92,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166,112,11.607,70.517,94.514,6.292,70.517,94.09,0.419,111.1,141.108,8.575,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV477",42,84,91,6.06,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168,65,9.108,70.509,96.023,6.488,70.509,95.575,0.431,113.188,137.997,4.996,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV478",38,76,82.333,5.61,108.66,86.556,9.5,108.98,86.458,20.326,113.829,152,35,9.657,64.996,86.46,6.005,64.996,86.032,0.453,102.483,130.501,3.45,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV479",43,86,93.167,6.29,122.95,97.944,10.75,123.31,97.834,23,128.806,172,16,6.125,73.719,97.828,6.73,73.719,97.362,0.428,115.611,145.694,2.134,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV480",37,74,80.167,5.5,105.8,84.278,9.25,106.11,84.183,19.791,110.833,148,118,10.441,64.057,84.215,5.873,64.057,83.783,0.465,99.949,128.39,8.485,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV481",48,96,104,6.58,137.25,109.333,12,137.65,109.21,25.675,143.784,192,19,8.105,83.271,109.212,7.033,83.271,108.778,0.381,127.564,156.073,2.488,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV482",37,74,80.167,5.41,105.8,84.278,9.25,106.11,84.183,19.791,110.833,148,16,5.625,62.49,84.177,5.786,62.49,83.765,0.442,99.482,125.306,2.116,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV483",49.5,99,107.25,6.96,141.54,112.75,12.375,141.95,112.623,26.477,148.277,198,23,9.087,85.119,112.638,7.454,85.119,112.154,0.403,132.243,165.922,2.794,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV484",46.5,93,100.75,6.51,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186,16,7.75,81.119,105.804,6.969,81.119,105.352,0.405,124.157,150.443,2.294,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV485",43,86,93.167,5.93,122.95,97.944,10.75,123.31,97.834,23,128.806,172,126,10.333,71.867,97.932,6.331,71.867,97.539,0.394,114.522,139.952,8.757,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV486",39,78,84.5,5.98,111.52,88.833,9.75,111.84,88.733,20.861,116.824,156,636,13.303,69.993,91.84,6.221,69.993,91.389,0.449,108.429,138.066,46.952,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV487",41.5,83,89.917,6.04,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166,132,10.364,70.016,94.569,6.445,70.016,94.112,0.435,111.67,138.165,9.226,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV488",36.5,73,79.083,5.53,104.37,83.139,9.125,104.67,83.045,19.524,109.335,146,99,12.727,63.872,84.815,5.885,63.872,84.396,0.449,100.493,126.474,8.563,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV489",35,70,75.833,5.37,100.08,79.722,8.75,100.37,79.632,18.721,104.842,140,28,7.571,59.153,79.632,5.756,59.153,79.209,0.466,95.057,128.031,2.852,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV490",42.5,85,92.083,6.23,121.52,96.806,10.625,121.88,96.696,22.733,127.308,170,46,8.457,72.639,96.703,6.665,72.639,96.225,0.445,114.432,142.873,3.829,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV491",42,84,91,6.17,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168,700,14.24,72.217,97.027,6.619,72.217,96.573,0.428,114.505,144.227,55.248,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV492",42,84,91,6.52,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168,88,13.659,74.316,98.291,6.504,74.316,97.8,0.475,115.735,142.481,8.151,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV493",37,74,80.167,5.44,105.8,84.278,9.25,106.11,84.183,19.791,110.833,148,25,9.68,63.136,84.189,5.812,63.136,83.77,0.458,99.672,133.279,2.887,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV494",44.5,89,96.417,6.19,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178,169,11.645,78.326,102.586,6.625,78.326,102.162,0.404,120.031,155.35,12.657,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV495",39.5,79,85.583,5.66,112.94,89.972,9.875,113.28,89.871,21.128,118.322,158,98,9.99,68.811,90.693,6.131,68.811,90.273,0.435,106.954,131.27,7.085,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV496",33,66,71.5,4.99,94.36,75.167,8.25,94.64,75.082,17.651,98.851,132,39,8.128,57.003,75.171,5.344,57.003,74.767,0.481,89.509,115.673,3.467,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV497",47,94,101.833,6.5,134.39,107.056,11.75,134.78,106.935,25.14,140.788,188,39,9.205,82.053,106.948,6.965,82.053,106.504,0.398,125.236,156.767,3.659,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV498",41.5,83,89.917,6.2,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166,38,9.211,70.52,94.421,6.63,70.52,93.949,0.442,112.007,143.429,3.517,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV499",38,76,82.333,5.32,108.66,86.556,9.5,108.98,86.458,20.326,113.829,152,29,9.172,63.584,86.47,5.686,63.584,86.092,0.419,101.435,128.75,3.141,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV500",47,94,101.833,6.94,134.39,107.056,11.75,134.78,106.935,25.14,140.788,188,93,9.667,80.158,106.977,7.425,80.158,106.475,0.419,126.532,156.469,6.799,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.5,"Rand","Rand","Rand"
"Set 1 SP_EV501",50,100,108.333,6.86,142.97,113.889,12.5,143.39,113.76,26.745,149.775,200,25,11.12,87.486,113.766,7.34,87.486,113.29,0.401,132.984,159.271,3.184,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
"Set 1 SP_EV502",56.5,113,122.417,7.41,161.55,128.694,14.125,162.03,128.549,30.221,169.245,226,202,12.926,98.863,128.707,7.899,98.863,128.233,0.372,149.26,181.335,15.808,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
"Set 1 SP_EV503",54,108,117,6.98,154.41,123,13.5,154.86,122.861,28.884,161.757,216,50,15.98,95.873,123.26,7.473,95.873,122.799,0.379,142.706,173.295,5.721,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
"Set 1 SP_EV504",53,106,114.833,7.01,151.55,120.722,13.25,151.99,120.586,28.349,158.761,212,13,9.077,93.115,120.586,7.497,93.115,120.115,0.391,140.218,167.99,2.241,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
"Set 1 SP_EV505",41.5,83,89.917,5.61,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166,25,10.08,72.507,94.52,5.997,72.507,94.113,0.425,110.381,137.378,3.007,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
"Set 1 SP_EV506",61,122,132.167,7.75,174.42,138.944,15.25,174.93,138.787,32.628,182.725,244,77,13.403,105.594,140.092,8.312,105.594,139.598,0.369,161.696,194.689,7.163,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
"Set 1 SP_EV507",50,100,108.333,6.55,142.97,113.889,12.5,143.39,113.76,26.745,149.775,200,13,8.308,88.711,113.761,7.002,88.711,113.323,0.39,132.108,161.619,2.177,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
"Set 1 SP_EV508",48,96,104,6.4,137.25,109.333,12,137.65,109.21,25.675,143.784,192,41,9.683,82.726,109.206,6.853,82.726,108.768,0.4,127.19,161.408,3.791,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
"Set 1 SP_EV509",46.5,93,100.75,6.42,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186,31,11.581,79.925,105.798,6.865,79.925,105.34,0.414,123.848,152.122,3.602,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
"Set 1 SP_EV510",53.5,107,115.917,7.18,152.98,121.861,13.375,153.43,121.723,28.617,160.259,214,55,12.291,94.75,121.795,7.676,94.75,121.31,0.393,141.91,179.836,5.333,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
"Set 1 SP_EV511",62.5,125,135.417,7.81,178.71,142.361,15.625,179.24,142.2,33.431,187.218,250,13,7.462,109.415,142.214,8.364,109.415,141.738,0.355,163.931,196.64,2.122,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
"Set 1 SP_EV512",60,120,130,7.47,171.56,136.667,15,172.07,136.512,32.094,179.729,240,144,18.208,109.152,137.886,7.949,109.152,137.429,0.348,158.427,197.016,14.762,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
"Set 1 SP_EV513",44.5,89,96.417,6.31,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178,20,9.8,78.214,101.251,6.748,78.214,100.786,0.437,119.168,155.243,2.74,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
"Set 1 SP_EV514",45.5,91,98.583,5.89,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182,13,6.308,81.418,103.523,6.306,81.418,103.138,0.385,120.052,144.635,2.085,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
"Set 1 SP_EV515",49.5,99,107.25,6.63,141.54,112.75,12.375,141.95,112.623,26.477,148.277,198,13,5.231,87.722,112.628,7.109,87.722,112.173,0.402,131.282,160.007,1.919,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
"Set 1 SP_EV516",55,110,119.167,7.29,157.27,125.278,13.75,157.73,125.136,29.419,164.752,220,13,5.385,96.576,125.149,7.807,96.576,124.657,0.393,145.573,178.216,1.978,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
"Set 1 SP_EV517",45,90,97.5,6.07,128.67,102.5,11.25,129.05,102.384,24.07,134.797,180,61,11.328,79.205,103.212,6.502,79.205,102.795,0.404,120.291,150.717,5.353,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
"Set 1 SP_EV518",46,92,99.667,6.49,131.53,104.778,11.5,131.92,104.659,24.605,137.793,184,12,11.167,78.426,104.655,6.946,78.426,104.169,0.428,123.024,154.741,2.258,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
"Set 1 SP_EV519",54.5,109,118.083,6.97,155.84,124.139,13.625,156.29,123.999,29.152,163.254,218,15,11.667,93.696,123.998,7.456,93.696,123.551,0.368,143.382,172.158,2.54,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
"Set 1 SP_EV520",39.5,79,85.583,5.74,112.94,89.972,9.875,113.28,89.871,21.128,118.322,158,24,11.042,67.885,90.061,6.137,67.885,89.605,0.468,106.489,131.711,3.065,2,2,"lognormal",1000000,"Set 1 SP Completion Times - Lognormal",0.6,"Rand","Rand","Rand"
