Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds)
Set 1 SP_EV146,22.0,44,47.667,4.7,62.91,50.111,5.5,63.09,50.054,11.768,88.0,88.0,31.069,51.415,5.78,31.069,51.234,0.179,65.355,77.963,2.626
Set 1 SP_EV147,22.0,44,47.667,4.99,62.91,50.111,5.5,63.09,50.054,11.768,88.0,88.0,34.263,54.942,5.474,34.263,54.728,0.213,68.311,79.844,9.122
Set 1 SP_EV148,17.0,34,36.833,3.69,48.61,38.722,4.25,48.75,38.678,9.093,68.0,68.0,21.795,39.666,4.599,21.795,39.544,0.139,50.687,61.151,1.725
Set 1 SP_EV149,13.5,27,29.25,3.01,38.6,30.75,3.375,38.71,30.715,7.221,54.0,54.0,21.168,32.644,3.226,21.168,32.459,0.3,40.774,48.874,2.956
Set 1 SP_EV150,17.0,34,36.833,3.98,48.61,38.722,4.25,48.75,38.678,9.093,68.0,68.0,25.508,40.54,4.386,25.508,40.27,0.315,51.576,63.239,2.632
Set 1 SP_EV151,18.0,36,39.0,3.94,51.47,41.0,4.5,51.62,40.954,9.628,72.0,72.0,25.534,42.658,4.435,25.534,42.415,0.282,53.762,63.25,3.146
Set 1 SP_EV152,12.5,25,27.083,2.9,35.74,28.472,3.125,35.85,28.44,6.686,50.0,50.0,17.502,29.518,3.373,17.502,29.358,0.244,37.825,44.732,1.862
Set 1 SP_EV153,21.5,43,46.583,4.68,61.48,48.972,5.375,61.66,48.917,11.5,86.0,86.0,30.325,51.004,5.676,30.325,50.853,0.143,64.574,78.076,2.325
Set 1 SP_EV154,15.5,31,33.583,3.68,44.32,35.306,3.875,44.45,35.266,8.291,62.0,62.0,24.777,38.785,3.508,24.777,38.649,0.221,47.494,56.614,5.968
Set 1 SP_EV155,20.0,40,43.333,4.2,57.19,45.556,5.0,57.36,45.504,10.698,80.0,80.0,31.932,49.872,4.528,31.932,49.747,0.147,60.743,71.099,5.299
Set 1 SP_EV156,17.0,34,36.833,3.95,48.61,38.722,4.25,48.75,38.678,9.093,68.0,68.0,23.141,39.894,4.798,23.141,39.74,0.179,51.463,62.729,2.637
Set 1 SP_EV157,19.5,39,42.25,4.22,55.76,44.417,4.875,55.92,44.366,10.43,78.0,78.0,25.459,45.509,5.251,25.459,45.371,0.146,58.112,69.574,2.684
Set 1 SP_EV158,17.5,35,37.917,3.86,50.04,39.861,4.375,50.19,39.816,9.361,70.0,70.0,26.127,42.576,4.317,26.127,42.446,0.168,53.008,61.713,2.613
Set 1 SP_EV159,16.5,33,35.75,3.75,47.18,37.583,4.125,47.32,37.541,8.826,66.0,66.0,22.861,38.968,4.39,22.861,38.813,0.201,49.707,59.854,2.231
Set 1 SP_EV160,15.0,30,32.5,3.62,42.89,34.167,3.75,43.02,34.128,8.023,60.0,60.0,22.664,36.338,3.709,22.664,36.102,0.351,45.918,54.55,2.96
Set 1 SP_EV161,19.5,39,42.25,4.21,55.76,44.417,4.875,55.92,44.366,10.43,78.0,78.0,31.227,48.903,4.424,31.227,48.716,0.232,59.849,71.892,4.524
Set 1 SP_EV162,17.0,34,36.833,4.05,48.61,38.722,4.25,48.75,38.678,9.093,68.0,68.0,25.306,41.145,4.555,25.306,40.967,0.213,52.23,62.631,3.875
Set 1 SP_EV163,21.0,42,45.5,4.57,60.05,47.833,5.25,60.22,47.779,11.233,84.0,84.0,27.473,49.225,5.518,27.473,49.028,0.198,62.643,74.322,2.805
Set 1 SP_EV164,18.5,37,40.083,4.53,52.9,42.139,4.625,53.05,42.091,9.896,74.0,74.0,28.951,46.203,4.878,28.951,45.994,0.232,58.16,69.396,12.311
Set 1 SP_EV165,22.0,44,47.667,4.61,62.91,50.111,5.5,63.09,50.054,11.768,88.0,88.0,32.687,53.445,5.185,32.687,53.274,0.182,65.991,79.867,8.25
Set 1 SP_EV166,16.5,33,35.75,3.65,47.18,37.583,4.125,47.32,37.541,8.826,66.0,66.0,21.786,38.498,4.553,21.786,38.352,0.158,49.386,57.896,1.642
Set 1 SP_EV167,17.5,35,37.917,4.45,50.04,39.861,4.375,50.19,39.816,9.361,70.0,70.0,28.714,45.058,4.1,28.714,44.949,0.157,54.989,65.834,7.854
Set 1 SP_EV168,13.0,26,28.167,2.92,37.17,29.611,3.25,37.28,29.578,6.954,52.0,52.0,17.466,30.336,3.631,17.466,30.215,0.163,38.991,45.956,2.157
Set 1 SP_EV169,19.0,38,41.167,4.18,54.33,43.278,4.75,54.49,43.229,10.163,76.0,76.0,25.616,44.462,5.075,25.616,44.253,0.216,56.789,68.307,2.786
Set 1 SP_EV170,17.5,35,37.917,4.28,50.04,39.861,4.375,50.19,39.816,9.361,70.0,70.0,21.801,41.199,5.208,21.801,41.029,0.17,53.703,63.611,1.897
Set 1 SP_EV171,21.5,43,46.583,4.55,61.48,48.972,5.375,61.66,48.917,11.5,86.0,86.0,34.808,52.276,4.828,34.808,52.035,0.26,64.25,77.106,9.042
Set 1 SP_EV172,17.0,34,36.833,4.03,48.61,38.722,4.25,48.75,38.678,9.093,68.0,68.0,23.876,40.959,4.356,23.876,40.771,0.246,51.795,62.733,3.599
Set 1 SP_EV173,18.5,37,40.083,3.91,52.9,42.139,4.625,53.05,42.091,9.896,74.0,74.0,26.517,44.031,4.534,26.517,43.889,0.179,55.017,65.701,3.302
Set 1 SP_EV174,15.5,31,33.583,3.98,44.32,35.306,3.875,44.45,35.266,8.291,62.0,62.0,26.114,40.139,3.875,26.114,39.968,0.224,49.627,58.824,7.718
Set 1 SP_EV175,18.5,37,40.083,4.64,52.9,42.139,4.625,53.05,42.091,9.896,74.0,74.0,26.519,44.908,5.034,26.519,44.672,0.246,57.362,68.045,3.186
Set 1 SP_EV176,23.5,47,50.917,4.97,67.2,53.528,5.875,67.39,53.467,12.57,94.0,94.0,30.551,54.832,6.197,30.551,54.677,0.137,69.632,85.262,2.141
Set 1 SP_EV177,14.0,28,30.333,3.2,40.03,31.889,3.5,40.15,31.853,7.488,56.0,56.0,20.57,33.167,3.628,20.57,32.943,0.301,42.231,50.332,2.894
Set 1 SP_EV178,18.5,37,40.083,4.51,52.9,42.139,4.625,53.05,42.091,9.896,74.0,74.0,24.629,43.689,5.183,24.629,43.408,0.285,56.621,67.79,4.289
Set 1 SP_EV179,15.0,30,32.5,3.22,42.89,34.167,3.75,43.02,34.128,8.023,60.0,60.0,20.316,35.011,3.998,20.316,34.897,0.156,44.59,52.963,2.032
Set 1 SP_EV180,21.0,42,45.5,4.4,60.05,47.833,5.25,60.22,47.779,11.233,84.0,84.0,29.129,49.401,5.318,29.129,49.252,0.156,62.23,74.407,2.467
Set 1 SP_EV181,11.5,23,24.917,3.61,32.88,26.194,2.875,32.98,26.165,6.151,46.0,46.0,18.894,30.174,3.191,18.894,30.038,0.243,38.136,43.995,2.259
Set 1 SP_EV182,18.0,36,39.0,3.95,51.47,41.0,4.5,51.62,40.954,9.628,72.0,72.0,25.038,42.614,4.674,25.038,42.48,0.157,53.896,64.951,1.834
Set 1 SP_EV183,17.0,34,36.833,3.91,48.61,38.722,4.25,48.75,38.678,9.093,68.0,68.0,23.493,39.9,4.681,23.493,39.706,0.219,51.31,61.161,2.339
Set 1 SP_EV184,14.5,29,31.417,3.15,41.46,33.028,3.625,41.58,32.99,7.756,58.0,58.0,20.039,33.871,3.865,20.039,33.724,0.206,43.249,52.015,2.285
Set 1 SP_EV185,24.5,49,53.083,5.08,70.05,55.806,6.125,70.26,55.742,13.105,98.0,98.0,38.599,61.272,5.432,38.599,61.118,0.16,74.468,86.231,10.676
Set 1 SP_EV186,18.5,37,40.083,4.15,52.9,42.139,4.625,53.05,42.091,9.896,74.0,74.0,27.775,44.897,4.651,27.775,44.722,0.201,56.23,66.832,4.531
Set 1 SP_EV187,16.0,32,34.667,3.79,45.75,36.444,4.0,45.88,36.403,8.558,64.0,64.0,21.817,37.548,4.529,21.817,37.337,0.243,48.67,58.338,2.009
Set 1 SP_EV188,20.0,40,43.333,4.21,57.19,45.556,5.0,57.36,45.504,10.698,80.0,80.0,27.638,46.668,5.237,27.638,46.531,0.144,59.217,70.254,1.857
Set 1 SP_EV189,18.0,36,39.0,3.98,51.47,41.0,4.5,51.62,40.954,9.628,72.0,72.0,27.446,43.007,4.4,27.446,42.81,0.249,53.923,63.248,4.347
Set 1 SP_EV190,18.0,36,39.0,4.11,51.47,41.0,4.5,51.62,40.954,9.628,72.0,72.0,29.862,44.543,3.963,29.862,44.354,0.274,54.55,66.064,5.106
Set 1 SP_EV191,18.5,37,40.083,4.04,52.9,42.139,4.625,53.05,42.091,9.896,74.0,74.0,30.28,46.124,4.012,30.28,46.005,0.17,55.877,65.685,7.127
Set 1 SP_EV192,21.0,42,45.5,4.72,60.05,47.833,5.25,60.22,47.779,11.233,84.0,84.0,33.111,51.799,4.915,33.111,51.621,0.203,63.841,76.214,5.508
Set 1 SP_EV193,21.0,42,45.5,4.44,60.05,47.833,5.25,60.22,47.779,11.233,84.0,84.0,30.821,49.964,5.044,30.821,49.732,0.243,62.404,74.616,8.377
Set 1 SP_EV194,30.0,60,65.0,6.12,85.78,68.333,7.5,86.03,68.256,16.047,120.0,120.0,47.207,75.472,6.664,47.207,75.304,0.143,91.479,106.937,18.293
Set 1 SP_EV195,12.5,25,27.083,3.21,35.74,28.472,3.125,35.85,28.44,6.686,50.0,50.0,17.842,30.264,3.342,17.842,30.058,0.321,38.743,45.852,2.282
Set 1 SP_EV196,20.5,41,44.417,4.39,58.62,46.694,5.125,58.79,46.642,10.965,82.0,82.0,30.324,48.704,5.061,30.324,48.505,0.216,61.083,71.926,5.388
Set 1 SP_EV197,23.0,46,49.833,4.92,65.77,52.389,5.75,65.96,52.33,12.303,92.0,92.0,35.68,56.557,5.309,35.68,56.383,0.178,69.455,82.22,7.905
Set 1 SP_EV198,15.5,31,33.583,3.47,44.32,35.306,3.875,44.45,35.266,8.291,62.0,62.0,21.958,36.805,3.927,21.958,36.623,0.244,46.555,56.483,2.331
Set 1 SP_EV199,22.0,44,47.667,4.62,62.91,50.111,5.5,63.09,50.054,11.768,88.0,88.0,33.83,52.665,5.269,33.83,52.46,0.211,65.533,77.115,11.861
Set 1 SP_EV200,21.5,43,46.583,4.93,61.48,48.972,5.375,61.66,48.917,11.5,86.0,86.0,34.349,52.677,4.96,34.349,52.416,0.296,65.188,78.371,8.221
Set 1 SP_EV201,22.0,44,47.667,4.12,62.91,50.111,5.5,63.09,50.054,11.768,88.0,88.0,30.012,51.331,5.141,30.012,51.21,0.128,63.606,74.609,2.054
Set 1 SP_EV202,24.0,48,52.0,4.86,68.62,54.667,6.0,68.83,54.605,12.837,96.0,96.0,37.059,57.238,5.489,37.059,57.066,0.18,70.585,83.526,2.529
Set 1 SP_EV203,27.5,55,59.583,5.02,78.63,62.639,6.875,78.86,62.568,14.71,110.0,110.0,40.738,64.617,6.078,40.738,64.457,0.147,79.247,94.469,3.062
Set 1 SP_EV204,26.5,53,57.417,4.88,75.77,60.361,6.625,76.0,60.293,14.175,106.0,106.0,42.238,63.945,5.587,42.238,63.819,0.127,77.348,89.435,22.671
Set 1 SP_EV205,23.5,47,50.917,4.76,67.2,53.528,5.875,67.39,53.467,12.57,94.0,94.0,37.675,58.159,5.023,37.675,58.01,0.162,70.341,81.142,19.162
Set 1 SP_EV206,22.5,45,48.75,4.76,64.34,51.25,5.625,64.52,51.192,12.035,90.0,90.0,33.683,54.037,5.373,33.683,53.854,0.19,67.062,78.997,5.714
Set 1 SP_EV207,30.0,60,65.0,5.49,85.78,68.333,7.5,86.03,68.256,16.047,120.0,120.0,42.066,69.996,6.846,42.066,69.846,0.123,86.362,101.206,5.843
Set 1 SP_EV208,20.0,40,43.333,4.3,57.19,45.556,5.0,57.36,45.504,10.698,80.0,80.0,30.529,48.79,4.935,30.529,48.597,0.215,60.883,71.62,5.225
Set 1 SP_EV209,35.5,71,76.917,6.08,101.51,80.861,8.875,101.81,80.77,18.989,142.0,142.0,49.98,82.827,7.574,49.98,82.679,0.111,100.926,119.993,3.573
Set 1 SP_EV210,36.5,73,79.083,6.52,104.37,83.139,9.125,104.67,83.045,19.524,146.0,146.0,55.587,87.516,7.738,55.587,87.341,0.131,106.084,127.408,35.123
Set 1 SP_EV211,28.5,57,61.75,5.58,81.49,64.917,7.125,81.73,64.843,15.244,114.0,114.0,44.606,69.221,6.442,44.606,69.044,0.158,84.732,99.306,27.572
Set 1 SP_EV212,25.5,51,55.25,4.67,72.91,58.083,6.375,73.13,58.018,13.64,102.0,102.0,39.339,60.307,5.656,39.339,60.18,0.122,73.826,85.747,2.946
Set 1 SP_EV213,31.0,62,67.167,5.29,88.64,70.611,7.75,88.9,70.531,16.582,124.0,124.0,46.431,72.341,6.598,46.431,72.207,0.11,88.084,102.882,3.018
Set 1 SP_EV214,25.0,50,54.167,4.57,71.48,56.944,6.25,71.69,56.88,13.372,100.0,100.0,38.506,58.601,5.457,38.506,58.388,0.21,71.961,85.882,8.613
Set 1 SP_EV215,28.5,57,61.75,5.24,81.49,64.917,7.125,81.73,64.843,15.244,114.0,114.0,44.74,69.371,6.112,44.74,69.26,0.102,83.881,98.391,13.883
Set 1 SP_EV216,25.5,51,55.25,4.87,72.91,58.083,6.375,73.13,58.018,13.64,102.0,102.0,36.858,59.526,6.047,36.858,59.375,0.136,73.999,86.093,7.635
Set 1 SP_EV217,26.0,52,56.333,4.78,74.34,59.222,6.5,74.56,59.155,13.907,104.0,104.0,37.227,60.686,5.967,37.227,60.55,0.128,74.962,87.685,3.788
Set 1 SP_EV218,21.0,42,45.5,3.74,60.05,47.833,5.25,60.22,47.779,11.233,84.0,84.0,32.131,49.585,4.535,32.131,49.482,0.125,60.425,70.65,4.686
Set 1 SP_EV219,32.0,64,69.333,5.87,91.5,72.889,8.0,91.77,72.807,17.117,128.0,128.0,50.083,76.83,6.759,50.083,76.664,0.137,93.056,113.25,27.684
Set 1 SP_EV220,25.0,50,54.167,4.56,71.48,56.944,6.25,71.69,56.88,13.372,100.0,100.0,37.644,58.766,5.549,37.644,58.627,0.14,72.075,84.827,4.62
Set 1 SP_EV221,26.0,52,56.333,4.99,74.34,59.222,6.5,74.56,59.155,13.907,104.0,104.0,41.458,62.347,5.593,41.458,62.172,0.174,75.906,88.649,7.402
Set 1 SP_EV222,25.0,50,54.167,4.89,71.48,56.944,6.25,71.69,56.88,13.372,100.0,100.0,36.642,58.825,5.875,36.642,58.637,0.175,73.047,87.616,4.341
Set 1 SP_EV223,18.0,36,39.0,3.32,51.47,41.0,4.5,51.62,40.954,9.628,72.0,72.0,27.699,43.108,3.982,27.699,42.994,0.16,52.687,61.731,3.842
Set 1 SP_EV224,26.0,52,56.333,4.56,74.34,59.222,6.5,74.56,59.155,13.907,104.0,104.0,38.8,60.949,5.554,38.8,60.807,0.145,74.307,87.786,10.55
Set 1 SP_EV225,25.5,51,55.25,4.92,72.91,58.083,6.375,73.13,58.018,13.64,102.0,102.0,38.638,60.423,5.649,38.638,60.217,0.202,74.241,89.65,5.743
Set 1 SP_EV226,29.5,59,63.917,5.49,84.35,67.194,7.375,84.6,67.119,15.779,118.0,118.0,42.981,70.764,6.707,42.981,70.626,0.121,86.813,101.405,6.375
Set 1 SP_EV227,25.0,50,54.167,4.6,71.48,56.944,6.25,71.69,56.88,13.372,100.0,100.0,34.929,58.336,5.733,34.929,58.205,0.126,72.01,84.452,1.627
Set 1 SP_EV228,27.5,55,59.583,4.88,78.63,62.639,6.875,78.86,62.568,14.71,110.0,110.0,40.373,64.503,5.948,40.373,64.346,0.152,78.826,93.278,14.828
Set 1 SP_EV229,25.5,51,55.25,4.89,72.91,58.083,6.375,73.13,58.018,13.64,102.0,102.0,35.373,59.502,6.099,35.373,59.348,0.14,74.051,86.94,2.309
Set 1 SP_EV230,21.5,43,46.583,4.21,61.48,48.972,5.375,61.66,48.917,11.5,86.0,86.0,35.116,53.499,4.534,35.116,53.428,0.095,64.25,73.412,14.85
Set 1 SP_EV231,29.5,59,63.917,5.15,84.35,67.194,7.375,84.6,67.119,15.779,118.0,118.0,46.128,70.043,6.158,46.128,69.901,0.128,84.751,98.543,7.48
Set 1 SP_EV232,29.0,58,62.833,5.16,82.92,66.056,7.25,83.17,65.981,15.512,116.0,116.0,42.161,67.661,6.43,42.161,67.527,0.119,83.004,100.236,1.918
Set 1 SP_EV233,31.5,63,68.25,5.72,90.07,71.75,7.875,90.33,71.669,16.849,126.0,126.0,51.102,76.369,6.341,51.102,76.186,0.156,91.715,109.059,13.341
Set 1 SP_EV234,33.5,67,72.583,5.84,95.79,76.306,8.375,96.07,76.219,17.919,134.0,134.0,48.936,78.163,7.279,48.936,78.02,0.112,95.549,114.76,1.715
Set 1 SP_EV235,32.0,64,69.333,5.8,91.5,72.889,8.0,91.77,72.807,17.117,128.0,128.0,48.835,75.745,6.807,48.835,75.565,0.145,92.193,108.676,12.422
Set 1 SP_EV236,24.5,49,53.083,4.79,70.05,55.806,6.125,70.26,55.742,13.105,98.0,98.0,32.598,57.157,5.979,32.598,57.01,0.136,71.45,85.354,2.456
Set 1 SP_EV237,26.0,52,56.333,4.69,74.34,59.222,6.5,74.56,59.155,13.907,104.0,104.0,38.159,61.031,5.729,38.159,60.904,0.13,74.737,87.215,13.161
Set 1 SP_EV238,24.0,48,52.0,4.37,68.62,54.667,6.0,68.83,54.605,12.837,96.0,96.0,34.17,56.046,5.418,34.17,55.913,0.135,69.003,79.924,2.871
Set 1 SP_EV239,30.5,61,66.083,5.4,87.21,69.472,7.625,87.47,69.394,16.314,122.0,122.0,46.326,73.487,6.441,46.326,73.37,0.11,88.822,103.99,11.553
Set 1 SP_EV240,25.5,51,55.25,4.72,72.91,58.083,6.375,73.13,58.018,13.64,102.0,102.0,38.45,59.697,5.746,38.45,59.522,0.166,73.568,86.427,2.858
Set 1 SP_EV241,33.5,67,72.583,5.79,95.79,76.306,8.375,96.07,76.219,17.919,134.0,134.0,49.713,78.434,7.102,49.713,78.266,0.136,95.501,111.989,24.88
Set 1 SP_EV242,26.0,52,56.333,4.92,74.34,59.222,6.5,74.56,59.155,13.907,104.0,104.0,37.355,60.67,6.137,37.355,60.527,0.129,75.319,88.399,1.898
Set 1 SP_EV243,24.0,48,52.0,4.91,68.62,54.667,6.0,68.83,54.605,12.837,96.0,96.0,38.526,58.591,5.325,38.526,58.426,0.171,71.52,82.868,53.678
Set 1 SP_EV244,24.0,48,52.0,4.89,68.62,54.667,6.0,68.83,54.605,12.837,96.0,96.0,37.248,57.259,5.556,37.248,57.051,0.203,70.833,84.708,9.94
Set 1 SP_EV245,31.0,62,67.167,5.69,88.64,70.611,7.75,88.9,70.531,16.582,124.0,124.0,43.323,72.333,7.099,43.323,72.19,0.119,89.3,105.458,1.779
Set 1 SP_EV246,27.0,54,58.5,5.2,77.2,61.5,6.75,77.43,61.431,14.442,108.0,108.0,39.546,63.531,6.317,39.546,63.367,0.14,78.689,93.784,4.881
Set 1 SP_EV247,19.0,38,41.167,4.09,54.33,43.278,4.75,54.49,43.229,10.163,76.0,76.0,27.945,45.901,4.705,27.945,45.786,0.133,57.12,67.712,1.734
Set 1 SP_EV248,25.5,51,55.25,4.97,72.91,58.083,6.375,73.13,58.018,13.64,102.0,102.0,39.253,61.781,5.967,39.253,61.602,0.167,76.152,89.352,21.286
Set 1 SP_EV249,32.0,64,69.333,5.65,91.5,72.889,8.0,91.77,72.807,17.117,128.0,128.0,49.594,76.014,6.773,49.594,75.858,0.13,92.243,110.454,23.925
Set 1 SP_EV250,25.5,51,55.25,4.55,72.91,58.083,6.375,73.13,58.018,13.64,102.0,102.0,42.447,62.455,5.131,42.447,62.303,0.158,74.819,86.368,15.642
Set 1 SP_EV251,25.5,51,55.25,4.67,72.91,58.083,6.375,73.13,58.018,13.64,102.0,102.0,37.928,60.598,5.75,37.928,60.44,0.151,74.421,87.185,7.045
Set 1 SP_EV252,34.0,68,73.667,5.87,97.22,77.444,8.5,97.5,77.357,18.186,136.0,136.0,53.702,80.277,6.907,53.702,80.087,0.152,96.996,112.74,9.394
Set 1 SP_EV253,23.0,46,49.833,4.62,65.77,52.389,5.75,65.96,52.33,12.303,92.0,92.0,34.571,55.421,5.483,34.571,55.269,0.152,68.541,82.301,3.921
Set 1 SP_EV254,24.0,48,52.0,4.61,68.62,54.667,6.0,68.83,54.605,12.837,96.0,96.0,38.763,59.145,4.997,38.763,58.969,0.192,71.329,82.477,11.989
Set 1 SP_EV255,26.5,53,57.417,4.66,75.77,60.361,6.625,76.0,60.293,14.175,106.0,106.0,38.949,61.837,5.807,38.949,61.716,0.112,75.673,89.101,2.31
Set 1 SP_EV256,23.0,46,49.833,4.37,65.77,52.389,5.75,65.96,52.33,12.303,92.0,92.0,31.513,53.662,5.452,31.513,53.539,0.128,66.698,78.97,1.65
Set 1 SP_EV257,23.5,47,50.917,4.44,67.2,53.528,5.875,67.39,53.467,12.57,94.0,94.0,37.93,56.137,4.852,37.93,55.935,0.229,68.135,79.376,7.138
Set 1 SP_EV258,19.5,39,42.25,3.93,55.76,44.417,4.875,55.92,44.366,10.43,78.0,78.0,30.072,47.086,4.368,30.072,46.98,0.142,57.597,68.285,7.568
Set 1 SP_EV259,24.5,49,53.083,4.82,70.05,55.806,6.125,70.26,55.742,13.105,98.0,98.0,35.13,57.58,5.9,35.13,57.404,0.165,71.799,88.166,11.975
Set 1 SP_EV260,30.0,60,65.0,5.42,85.78,68.333,7.5,86.03,68.256,16.047,120.0,120.0,42.965,70.006,6.755,42.965,69.856,0.125,86.163,103.009,1.569
Set 1 SP_EV261,28.5,57,61.75,5.08,81.49,64.917,7.125,81.73,64.843,15.244,114.0,114.0,41.988,66.603,6.244,41.988,66.43,0.154,81.617,97.137,3.164
Set 1 SP_EV262,28.5,57,61.75,5.3,81.49,64.917,7.125,81.73,64.843,15.244,114.0,114.0,39.369,66.497,6.605,39.369,66.354,0.124,82.269,97.792,2.021
Set 1 SP_EV263,21.5,43,46.583,4.51,61.48,48.972,5.375,61.66,48.917,11.5,86.0,86.0,30.405,50.709,5.576,30.405,50.551,0.157,64.079,76.634,3.233
Set 1 SP_EV264,20.5,41,44.417,4.34,58.62,46.694,5.125,58.79,46.642,10.965,82.0,82.0,30.589,50.052,5.004,30.589,49.918,0.143,62.029,73.553,2.095
Set 1 SP_EV265,25.5,51,55.25,4.72,72.91,58.083,6.375,73.13,58.018,13.64,102.0,102.0,37.256,59.53,5.871,37.256,59.387,0.135,73.572,86.078,1.82
Set 1 SP_EV266,22.0,44,47.667,4.3,62.91,50.111,5.5,63.09,50.054,11.768,88.0,88.0,30.675,52.361,5.174,30.675,52.244,0.124,64.722,76.141,2.819
Set 1 SP_EV267,26.5,53,57.417,4.84,75.77,60.361,6.625,76.0,60.293,14.175,106.0,106.0,37.554,62.452,5.961,37.554,62.334,0.115,76.657,90.875,2.081
Set 1 SP_EV268,23.0,46,49.833,4.3,65.77,52.389,5.75,65.96,52.33,12.303,92.0,92.0,34.17,54.003,5.192,34.17,53.851,0.16,66.536,78.535,3.79
Set 1 SP_EV269,22.5,45,48.75,4.74,64.34,51.25,5.625,64.52,51.192,12.035,90.0,90.0,35.701,55.726,5.049,35.701,55.555,0.181,67.966,78.606,11.152
Set 1 SP_EV270,21.5,43,46.583,4.16,61.48,48.972,5.375,61.66,48.917,11.5,86.0,86.0,32.293,50.596,4.985,32.293,50.429,0.183,62.656,74.952,3.217
Set 1 SP_EV271,22.5,45,48.75,4.91,64.34,51.25,5.625,64.52,51.192,12.035,90.0,90.0,35.284,54.871,5.431,35.284,54.678,0.199,68.134,81.174,4.405
Set 1 SP_EV272,18.0,36,39.0,3.86,51.47,41.0,4.5,51.62,40.954,9.628,72.0,72.0,28.729,44.295,4.191,28.729,44.141,0.192,54.461,63.181,6.18
Set 1 SP_EV273,18.0,36,39.0,3.64,51.47,41.0,4.5,51.62,40.954,9.628,72.0,72.0,27.009,42.602,4.25,27.009,42.446,0.197,52.923,61.511,2.469
Set 1 SP_EV274,25.5,51,55.25,5.23,72.91,58.083,6.375,73.13,58.018,13.64,102.0,102.0,35.453,59.585,6.471,35.453,59.418,0.142,75.105,90.403,1.863
Set 1 SP_EV275,29.5,59,63.917,5.27,84.35,67.194,7.375,84.6,67.119,15.779,118.0,118.0,42.818,70.027,6.296,42.818,69.888,0.129,85.09,101.17,17.807
Set 1 SP_EV276,20.5,41,44.417,3.82,58.62,46.694,5.125,58.79,46.642,10.965,82.0,82.0,28.468,47.847,4.747,28.468,47.733,0.136,59.207,69.952,3.161
Set 1 SP_EV277,22.5,45,48.75,4.37,64.34,51.25,5.625,64.52,51.192,12.035,90.0,90.0,35.028,54.594,4.888,35.028,54.431,0.174,66.367,78.081,5.553
Set 1 SP_EV278,26.5,53,57.417,5.17,75.77,60.361,6.625,76.0,60.293,14.175,106.0,106.0,42.611,64.75,5.669,42.611,64.595,0.148,78.441,90.923,6.925
Set 1 SP_EV279,32.0,64,69.333,5.53,91.5,72.889,8.0,91.77,72.807,17.117,128.0,128.0,46.434,74.661,6.907,46.434,74.515,0.114,91.168,106.197,1.745
Set 1 SP_EV280,27.0,54,58.5,5.26,77.2,61.5,6.75,77.43,61.431,14.442,108.0,108.0,42.125,64.732,6.113,42.125,64.531,0.18,79.522,93.283,8.47
Set 1 SP_EV281,26.5,53,57.417,4.74,75.77,60.361,6.625,76.0,60.293,14.175,106.0,106.0,38.184,61.834,5.901,38.184,61.712,0.12,75.928,90.627,2.865
Set 1 SP_EV282,22.0,44,47.667,4.18,62.91,50.111,5.5,63.09,50.054,11.768,88.0,88.0,34.949,53.272,4.914,34.949,53.142,0.139,64.985,76.4,5.579
Set 1 SP_EV283,25.5,51,55.25,4.79,72.91,58.083,6.375,73.13,58.018,13.64,102.0,102.0,38.245,60.18,5.67,38.245,60.015,0.163,73.916,89.829,3.563
Set 1 SP_EV284,32.0,64,69.333,5.48,91.5,72.889,8.0,91.77,72.807,17.117,128.0,128.0,49.964,76.107,6.391,49.964,75.957,0.137,91.507,106.948,19.474
Set 1 SP_EV285,26.0,52,56.333,4.89,74.34,59.222,6.5,74.56,59.155,13.907,104.0,104.0,37.621,60.662,6.086,37.621,60.523,0.131,75.199,89.555,2.44
Set 1 SP_EV286,30.5,61,66.083,5.27,87.21,69.472,7.625,87.47,69.394,16.314,122.0,122.0,44.656,71.674,6.393,44.656,71.529,0.13,86.993,103.091,5.549
Set 1 SP_EV287,21.5,43,46.583,4.31,61.48,48.972,5.375,61.66,48.917,11.5,86.0,86.0,30.347,50.214,5.329,30.347,50.051,0.167,63.052,75.223,2.453
Set 1 SP_EV288,25.5,51,55.25,4.63,72.91,58.083,6.375,73.13,58.018,13.64,102.0,102.0,38.666,60.428,5.532,38.666,60.315,0.124,73.634,85.614,4.321
Set 1 SP_EV289,28.0,56,60.667,5.2,80.06,63.778,7.0,80.3,63.706,14.977,112.0,112.0,40.235,65.442,6.415,40.235,65.285,0.131,80.794,97.599,2.744
Set 1 SP_EV290,32.5,65,70.417,5.84,92.93,74.028,8.125,93.2,73.944,17.384,130.0,130.0,47.7,75.866,7.238,47.7,75.698,0.133,93.192,110.667,5.099
Set 1 SP_EV291,22.0,44,47.667,4.54,62.91,50.111,5.5,63.09,50.054,11.768,88.0,88.0,30.101,51.425,5.572,30.101,51.232,0.187,64.897,76.025,3.501
Set 1 SP_EV292,24.5,49,53.083,4.76,70.05,55.806,6.125,70.26,55.742,13.105,98.0,98.0,37.05,59.235,5.565,37.05,59.1,0.132,72.533,85.17,12.609
